SectionId,MonthlyPay,StudentId,Department
CSE5322-001,2000,JG1036,CSE
CSE5322-002,2000,VA1938,CSE
CSE5322-003,2000,AB2903,CSE
CSE5324-001,2000,JR1930,CSE
CSE5324-002,2000,MA1968,CSE
CSE5324-003,2000,JG8927,CSE
CSE6338-001,2000,AL8345,CSE
CSE6338-002,2000,AM8051,CSE
CSE6338-003,2000,KY4892,CSE
CSE6365-001,2000,MN2903,CSE
CSE6365-002,2000,DB6291,CSE
CSE6365-003,2000,DB1783,CSE
CSE4354-001,1500,JF1092,CSE
CSE4354-002,1500,PS1904,CSE
CSE4354-003,1500,SS1304,CSE
CSE4351-001,1500,SP1938,CSE
CSE4351-002,1500,AY2653,CSE
CSE4351-003,1500,SD1946,CSE
CSE3302-001,1500,AD1035,CSE
CSE3302-002,1500,MP3478,CSE
CSE3302-003,1500,ML3902,CSE
CSE3310-001,1500,NN1629,CSE
CSE3310-002,1500,OT8190,CSE
CSE3310-003,1500,RS1903,CSE
CSE3330-001,1500,PG2469,CSE
CSE3330-002,1000,LM1405,CSE
CSE3330-003,1000,MA1234,CSE
CSE3442-001,1000,FS6892,CSE
CSE3442-002,1000,AK1958,CSE
CSE3442-003,1000,SJ1947,CSE
CSE1325-001,1000,MG1940,CSE
CSE1320-001,1000,PH2091,CSE
CSE1310-001,1000,TC1038,CSE
