SectionId,CourseId,InstructorId,TA
CSE5322-001,CSE5322,AO5671,JG1036
CSE5322-002,CSE5322,AS2348,VA1938
CSE5322-003,CSE5322,RB1897,AB2903
CSE5324-001,CSE5324,SB2561,JR1930
CSE5324-002,CSE5324,BL9856,MA1968
CSE5324-003,CSE5324,DP6712,JG8927
CSE6338-001,CSE6338,XZ3456,AL8345
CSE6338-002,CSE6338,HY1945,AM8051
CSE6338-003,CSE6338,AD4267,KY4892
CSE6365-001,CSE6365,CA2876,MN2903
CSE6365-002,CSE6365,AO1290,DB6291
CSE6365-003,CSE6365,CC8908,DB1783
CSE4354-001,CSE4354,AO5671,JF1092
CSE4354-002,CSE4354,AS2348,PS1904
CSE4354-003,CSE4354,RB1897,SS1304
CSE4351-001,CSE4351,SB2561,SP1938
CSE4351-002,CSE4351,BL9856,AY2653
CSE4351-003,CSE4351,DP6712,SD1946
CSE3302-001,CSE3302,XZ3456,AD1035
CSE3302-002,CSE3302,HY1945,MP3478
CSE3302-003,CSE3302,AD4267,ML3902
CSE3310-001,CSE3310,CA2876,NN1629
CSE3310-002,CSE3310,AO1290,OT8190
CSE3310-003,CSE3310,CC8908,RS1903
CSE3330-001,CSE3330,AO5671,PG2469
CSE3330-002,CSE3330,AS2348,LM1405
CSE3330-003,CSE3330,RB1897,MA1234
CSE3442-001,CSE3442,SB2561,FS6892
CSE3442-002,CSE3442,BL9856,AK1958
CSE3442-003,CSE3442,DP6712,SJ1947
CSE1325-001,CSE1325,XZ3456,MG1940
CSE1320-001,CSE1320,HY1945,PH2091
CSE1310-001,CSE1310,AD4267,TC1038
